Asset Name,Asset Type,Cloud,Critical Alerts,High Alerts,Medium Alerts,Low Alerts,Informational Alerts,Critical Vulnerability,High Vulnerability,Medium Vulnerability,Low Vulnerability,Account ID,Account Name,Asset ID,Region ID,Region,Actions
"ec2-az2a-luiot-dev3-hbase7","EC2 Instance","aws",0,3,1,0,0,18,516,921,475,"011143606116","svcalliance1 - 011143606116","i-099cc245e0cd5cc00","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-dev3-hbase3","EC2 Instance","aws",0,3,1,0,0,50,551,982,564,"011143606116","svcalliance1 - 011143606116","i-08b07ffb3e546276a","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-dev3-hbase5","EC2 Instance","aws",0,3,1,0,0,19,523,928,475,"011143606116","svcalliance1 - 011143606116","i-0b46d6bd16011de20","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-dev3-hbase2","EC2 Instance","aws",0,3,1,0,0,76,457,857,536,"011143606116","svcalliance1 - 011143606116","i-0725f1501d3c6d299","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-dev3-hbase4","EC2 Instance","aws",0,3,1,0,0,18,516,921,475,"011143606116","svcalliance1 - 011143606116","i-01ec3cb2b5a34048c","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-dev3-hbase6","EC2 Instance","aws",0,3,1,0,0,18,516,921,475,"011143606116","svcalliance1 - 011143606116","i-0e212ca5c2821c9f2","ap-northeast-2","AWS Seoul",
"ec2-az2a-luiot-dev3-hbase1","EC2 Instance","aws",0,3,1,0,0,94,520,1047,651,"011143606116","svcalliance1 - 011143606116","i-0a20f291eb8f9e247","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-service-ng","EC2 Instance","aws",0,3,1,0,0,4,113,332,19,"195275648244","aws-dev-aiplatform - 195275648244","i-018a3dd4abda2dc3c","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-service-ng","EC2 Instance","aws",0,3,1,0,0,4,113,332,19,"195275648244","aws-dev-aiplatform - 195275648244","i-099e005293bf2992f","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-inference-ng","EC2 Instance","aws",0,3,1,0,0,4,109,325,18,"195275648244","aws-dev-aiplatform - 195275648244","i-00b091fc92ed6680e","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-service-ng","EC2 Instance","aws",0,3,1,0,0,4,113,332,19,"195275648244","aws-dev-aiplatform - 195275648244","i-0c60f2a4a089862ad","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-service-ng","EC2 Instance","aws",0,3,1,0,0,4,113,332,19,"195275648244","aws-dev-aiplatform - 195275648244","i-0e5b8777a2849edbc","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-service-ng","EC2 Instance","aws",0,3,1,0,0,3,106,322,18,"195275648244","aws-dev-aiplatform - 195275648244","i-00a3f023d0b9cf131","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-inference-ng","EC2 Instance","aws",0,3,1,0,0,4,109,325,18,"195275648244","aws-dev-aiplatform - 195275648244","i-0d366e95399810987","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-inference-ng","EC2 Instance","aws",0,3,1,0,0,4,109,325,18,"195275648244","aws-dev-aiplatform - 195275648244","i-02c685d2e017364fc","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-service-ng","EC2 Instance","aws",0,3,1,0,0,4,113,332,19,"195275648244","aws-dev-aiplatform - 195275648244","i-0578fb7f2e02046fc","ap-northeast-2","AWS Seoul",
"PRD-RCS-EKS-NODE-MAIN-v1.30","EC2 Instance","aws",0,3,1,0,0,1,72,180,15,"749191198107","aws-prd-rcs - 749191198107","i-0bda7b3842b9b269a","ap-northeast-2","AWS Seoul",
"PRD-RCS-EKS-NODE-MAIN-v1.30","EC2 Instance","aws",0,3,1,0,0,1,72,180,15,"749191198107","aws-prd-rcs - 749191198107","i-069a2eff91c4eb57e","ap-northeast-2","AWS Seoul",
"PRD-RCS-EKS-NODE-MAIN-v1.30","EC2 Instance","aws",0,3,1,0,0,1,72,180,15,"749191198107","aws-prd-rcs - 749191198107","i-06ec02db353119e83","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-inference-ng","EC2 Instance","aws",0,3,1,0,0,4,109,325,18,"195275648244","aws-dev-aiplatform - 195275648244","i-015115e71a3cb891e","ap-northeast-2","AWS Seoul",
"eks-aidt-dev-inference-ng","EC2 Instance","aws",0,3,1,0,0,4,109,325,18,"195275648244","aws-dev-aiplatform - 195275648244","i-0f68537fdb9fe5b0e","ap-northeast-2","AWS Seoul",
"PRD-RCS-EKS-NODE-MAIN-v1.30","EC2 Instance","aws",0,3,1,0,0,1,72,180,15,"749191198107","aws-prd-rcs - 749191198107","i-03cc4ade46ac2efee","ap-northeast-2","AWS Seoul",
"STG-RCS-MAAP-BAS-PRI-A","EC2 Instance","aws",0,3,1,0,0,150,1344,1537,224,"493710722196","rcs-mapp@lguplus - 493710722196","i-0b5106a69812dcdda","ap-northeast-2","AWS Seoul",
"i-0a6a84981f01d3549","EC2 Instance","aws",0,3,1,0,0,1,55,92,15,"590184057287","aws-itmod-releng - 590184057287","i-0a6a84981f01d3549","ap-northeast-2","AWS Seoul",
"i-05c5ab39da17bbd5a","EC2 Instance","aws",0,3,1,0,0,3,152,399,23,"654654268643","aws-prd-ucrm - 654654268643","i-05c5ab39da17bbd5a","ap-northeast-2","AWS Seoul",
"i-074090bc15559a682","EC2 Instance","aws",0,3,1,0,0,3,152,399,23,"654654268643","aws-prd-ucrm - 654654268643","i-074090bc15559a682","ap-northeast-2","AWS Seoul",
"transithub-netxd_apnortheast2-v089","EC2 Instance","aws",0,3,1,0,0,1,382,1425,57,"506954789174","dax-network - 506954789174","i-00d5da9c8727605e8","ap-northeast-2","AWS Seoul",
"transithub-netxd_apnortheast2-v089","EC2 Instance","aws",0,3,1,0,0,1,382,1425,57,"506954789174","dax-network - 506954789174","i-0ee51b96e671cf318","ap-northeast-2","AWS Seoul",
"ec2-prd-smaple-AD-mgmt","EC2 Instance","aws",0,3,1,0,0,0,22,17,0,"213374172630","Plant_Factory_PoC_2020 - 213374172630","i-06a11b19bc6ec40ff","ap-northeast-2","AWS Seoul",
"test-ubuntu-secips","EC2 Instance","aws",0,3,1,0,0,2,38,972,57,"932507484725","aws-AICC-bmt - 932507484725","i-0e30e3bd3cd55e776","ap-northeast-2","AWS Seoul",
"ec2-prod-LoadController-2","EC2 Instance","aws",0,3,1,0,0,174,1664,668,43,"140441624596","serviceqa - 140441624596","i-0b6f38aaa7d325c9d","ap-northeast-2","AWS Seoul",
"ec2-prod-LoadGenerator-2","EC2 Instance","aws",0,3,1,0,0,191,1888,688,41,"140441624596","serviceqa - 140441624596","i-0fd30188791ffacc4","ap-northeast-2","AWS Seoul",
"ec2-iptvsif-iptvottprod-searchif-onprem-proxy-2c","EC2 Instance","aws",3,1,0,0,0,15,91,141,30,"971216839324","IPTV_OTT_SEARCH_prod - 971216839324","i-0f9a5087bd09b1f73","ap-northeast-2","AWS Seoul",
"eks-iptvsif-iptvottprod-bastion","EC2 Instance","aws",0,3,1,0,0,46,748,1569,207,"971216839324","IPTV_OTT_SEARCH_prod - 971216839324","i-0be3ef289324fb20b","ap-northeast-2","AWS Seoul",
"ec2-iptvsif-iptvottprod-searchif-onprem-proxy-2a","EC2 Instance","aws",2,1,0,0,1,15,91,141,30,"971216839324","IPTV_OTT_SEARCH_prod - 971216839324","i-00bfebba36194e622","ap-northeast-2","AWS Seoul",
"i-05c841377e8c752dd","EC2 Instance","aws",0,3,1,0,0,3,62,100,17,"590184057287","aws-itmod-releng - 590184057287","i-05c841377e8c752dd","ap-northeast-2","AWS Seoul",
"PRD-RCS-EKS-NODE-MAIN-v1.30","EC2 Instance","aws",0,3,1,0,0,1,72,180,15,"749191198107","aws-prd-rcs - 749191198107","i-09f7e6bc46bc51cfe","ap-northeast-2","AWS Seoul",
"i-0988d9f6ff1568ab2","EC2 Instance","aws",0,3,1,0,0,2,95,191,16,"767397901718","aws-nsd-dev - 767397901718","i-0988d9f6ff1568ab2","ap-northeast-2","AWS Seoul",
"test-ubuntu-userdata","EC2 Instance","aws",0,3,1,0,0,2,38,981,57,"932507484725","aws-AICC-bmt - 932507484725","i-0d2e089550364791f","ap-northeast-2","AWS Seoul",
